Match Point|Name|Geography|Watsonline|Watsonline URL|Wikipedia|Wikipedia URL|Met Collection|Met Collection URL|NAARCO|NAARCO URL|Medium|Birth Year|Death Year|Cross-Index|Wikidata ID|ULAN ID|VIAF URI|NACO|Alternate name(s)|Last name|First name
NA-0659|Chavez, Richard I.|Southwest|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Richard%20i.%20chavez%22%20or%20%22chavez%2C%20Richard%20I.%22)%20or%20(%22Richard%20Chavez%22%20or%20%22chavez%2C%20richard%22)&searchscope=1&SORT=R|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=e3141aa7-b9bf-434f-abe8-7db19940a4ba|jewelry artist|1949|||Q121344509||http://viaf.org/viaf/260160789731402681125||Richard Chavez|Chavez|Richard I.
NA-0382|Chee Chee, Benjamin|Midwest & Central Canada|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chee+Chee%2C+Benjamin%22+or+%22Benjamin+Chee+Chee%22+or+%22Kenneth+Thomas+Chee+Chee%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Chee+Chee%2C+Benjamin%22+or+%22Benjamin+Chee+Chee%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/Benjamin_Chee_Chee|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=a2c5ba6c-37a9-4cba-be28-40eb6c08df80|draftsperson; painter|1944|1977||Q4888390|500126542|http://viaf.org/viaf/20771057|n94022578|Kenneth Thomas Chee Chee|Chee Chee|Benjamin
NA-0646|Chee, Mark|Navajo Region|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chee,%20Mark%22%20or%20%22Mark%20Chee%22&searchscope=1&SORT=A|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=d7365185-22f1-4b19-8705-12a6f25156f0|jewelry artist|1914|1981||Q121344136|||||Chee|Mark
NA-0905|Cheechoo, Shirley|Midwest & Central Canada|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Cheechoo,%20Shirley%22%20or%20%22Shirley%20Cheechoo%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Shirley_Cheechoo|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=2d02be9e-5b42-4708-8fc6-2b6dea412db2|painter|1952|||Q7498718|500471007|http://viaf.org/viaf/104115667|no2007066349||Cheechoo|Shirley
NA-0918|Chief Lady Bird|Midwest & Central Canada|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chief%20Lady%20Bird%22%20or%20%22Chief%20Lady%20Bird%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Chief_Lady_Bird|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=55e6982e-25c6-42be-b16c-8570140ce888|beadwork artist; draftsperson; graphic artist; illustrator; mixed-media artist; muralist; painter; photographer|1993|||Q85317533||http://viaf.org/viaf/120151351999652601657|no2017160032|Nancy King; Ogimaakwebnes|Chief Lady Bird|
NA-0661|Chiltoskey, Goingback|Southeast|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Chiltoskey%2C%20Goingback%22%20or%20%22Goingback%20Chiltoskey%22)%20or%20(%22G.%20B.%20Chiltoskie%22%20or%20%22Going%20Back%20Chiltoskey%22)%20or%20(%22Goingback%20Chiltoskie%22%20or%20%22James%20Chiltoskey%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Goingback_Chiltoskey|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=4a4bded5-ccec-47ac-9ffa-c2d054468cc9|carver; carver (wood); draftsperson; illustrator|1907|2000||Q27122046|500487550|http://viaf.org/viaf/256466895|no2012103091|G. B. (Goingback Chiltoskey); G. B. Chiltoskie; G.B. (Goingback Chiltoskey); Going Back Chiltoskey; Goingback Chiltoskie; James Chiltoskey; James Going Back Chiltoskey; James Goingback Chiltoskey|Chiltoskey|Goingback
NA-0662|Chiltoskie, Watty|Southeast|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Chiltoskey%2C%20Watty%22%20or%20%22Watty%20Chiltoskey%22)%20or%20(%22watty%20Chiltoskie%22%20or%20%22Wahdih%20Chiltoskie%22)&searchscope=1&SORT=R|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=1752bd95-397c-46e7-97eb-68a55952cf5f|carver; carver (wood); sculptor|1897|1973||Q121344684||||"Wahdih ""Watty"" Chiltoskie; Wahdih Chiltoskie; Watty Chiltoskie"|Chiltoskey|Watty
NA-0567|Chon, Atsidi|Navajo Region|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chon,%20Atsidi%22%20or%20%22Atsidi%20Chon%22&searchscope=1&SORT=A|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=19288cdb-e06f-4067-a0a4-548eb0f0519c|jewelry artist||||Q120966415||||Atsidi Chon (Ugly Smith); Ugly Smith|Chon|Atsidi
NA-0202|Church, Kelly|Midwest & Central Canada|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Church%2C%20Kelly%22%20or%20%22Kelly%20Church%22%20or%20%22Kelly%20Jean%20Church%22)%20and%20not%20(%22franklin%20kelly%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Kelly_Church|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=a74b26c8-7610-41a3-bf57-374d76cf4df8|basket maker; painter; textile/fiber artist|1967|||Q6385983|500487450|http://viaf.org/viaf/6593159820919914000009|no2022142098|Kelly Jean Church|Church|Kelly
NA-0310|Churchill, Delores|Alaska & Northern Canada|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Churchill%2C%20Delores%22%20or%20%22Delores%20Churchill%22)%20or%20(%22Delores%20E.%20Churchill%22%20or%20%22Delores%20Elizabeth%20Churchill%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Delores_Churchill|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=56ebaeed-4184-44e5-956f-706a84bfb29d|basket maker; regalia maker|1929|||Q5254333|500487474|http://viaf.org/viaf/21159818653413811355|no2015026688|Delores E. Churchill; Delores Elizabeth Churchill; Dolores Churchill|Churchill|Delores
NA-0209|Clairmont, Corwin|Northwest|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Clairmont%2C%20Corwin%22%20or%20%22Corwin%20Clairmont%22)%20or%20(%22Corwin%20Corky%20Clairmont%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Corwin_Clairmont|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=72b28ed9-4447-4e14-bb56-d0142be166af|collagist; installation artist; mixed-media artist; painter; printmaker|1947|||Q5173500|500126552|http://viaf.org/viaf/73768200|nr98018428|"Corwin Corky Clairmont; Corwin ""Corky"" Clairmont; Corky N. Clairmont"|Clairmont|Corwin
NA-1962|Claremont, Lee|Northeast|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Claremont,%20Lee%22%20or%20%22Lee%20Claremont%22&searchscope=1&SORT=A|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=220aee64-7d69-43f6-b982-e44ba72ff610|illustrator; painter||||Q121130418||http://viaf.org/viaf/102813100|no2019064155||Claremont|Lee
NA-0668|Clark, Jessica|Southeast|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Clark%2C+Jessica%22+or+%22Jessica+Clark%22+or+%22Jessica+Rene%27+Clark%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Clark%2C+Jessica%22+or+%22Jessica+Clark%22%26SORT%3DA|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=4c65dc35-7327-4580-80f9-ba794739aec0|draftsperson; mixed-media artist; painter; photographer||||Q121130341||||Jessica Rene' Clark|Clark|Jessica
NA-0141|Clarke, Gerald|Pacific|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=((%22Clarke%2C%20Gerald%22%20or%20%22Gerald%20Clarke%22%20or%20%22Gerald%20Lloyd%20Clarke%22)%20or%20(%22Gerald%20Lloyd%20Clark%22))%20and%20not%20(%22NH139.3.A37%20S36%201999%20%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Gerald_Clarke_(artist)|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=56d900e2-c93c-48ad-9c66-96a3700916a8|installation artist; mixed-media artist; performance artist; sculptor|1967|||Q16827033|500126554|http://viaf.org/viaf/96615048|no2021076783|Gerald L. Clarke; Gerald Clarke Jr.; Gerald L. Clarke Jr.; Gerald Clark; Gerald Lloyd Clarke|Clarke|Gerald
NA-1599|Claus, Hannah|Northeast|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Claus,%20Hannah%22%20or%20%22Hannah%20Claus%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Hannah_Claus|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=46fda972-a5d4-47c6-ba97-493d7a951550|installation artist; mixed-media artist; multimedia artist; sculptor; textile/fiber artist; time-based media artist|1969|||Q85634865|500487452|http://viaf.org/viaf/200144647684969211108|no2022060783||Claus|Hannah
NA-0879|Claxton, Dana|Great Plains|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Claxton,%20Dana%22%20or%20%22Dana%20Claxton%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Dana_Claxton|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=781c4efa-343f-4e9b-8d01-adc2e22cb0e9|mixed-media artist; performance artist; photographer; time-based media artist|1959|||Q5214695|500487559|http://viaf.org/viaf/26529066|n2008003319||Claxton|Dana
NA-0223|Clayton, Lorenzo|Navajo Region|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Clayton,%20Lorenzo%22%20or%20%22Lorenzo%20Clayton%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Lorenzo_Clayton|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=05b85fee-d526-4ff6-8235-7ce9d3820b7c|painter; printmaker|1950|||Q6680672|500126556|http://viaf.org/viaf/261654797|no2010186214|Chorti; Shortest Distance From Mind To Hand|Clayton|Lorenzo
NA-0142|Cling, Alice|Navajo Region|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Cling%2C%20Alice%22%20or%20%22Alice%20Cling%22)%20or%20(%22Alice%20Williams%20Cling%22%20or%20%22alice%20W.%20Cling%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Alice_Cling|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=d6ae01f7-799b-4a78-8f38-6fd437ddcca3|ceramicist / potter|1946|||Q28935547|500126557|http://viaf.org/viaf/96615076||Alice Williams Cling; Alice W. Cling|Cling|Alice
NA-0919|Clutesi, George|Northwest|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Clutesi%2C+George%22+or+%22George+Clutesi%22+or+%22George+Charles+Clutesi%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Clutesi%2C+George%22+or+%22George+Clutesi%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/George_Clutesi|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=00de85e6-6161-43ad-a4d9-573a06c2988e|illustrator; painter|1905|1988||Q5537994||http://viaf.org/viaf/65077076|nr91020334|Clutesi; George Charles Clutesi; Whale Hunter|Clutesi|George
