Match point|ULAN concat|Wikidata concat|VIAF concat|LC concat|Name|Label|Birth date|Death date|Ancestry/Heritage|Indexes|Description|Watsonline|Watsonline URL|Met Collection|Met Collection URL|Wikipedia|Wikipedia URL|Art Asia America|AAA URL
AAPI-0068||Q20988900|76254938|nr2002038090|Chann, George|George (Yinpi) Chann (Chen)|1913|1995|Chinese||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22george+chann%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/George_Chann|artasiamerica|http://artasiamerica.org/artist/detail/111
AAPI-0071|500294239|Q5070290|30633698|nr00030437|Chao, Chan|Chan Chao|1966||Burmese||photographer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chao%2C+Chan%22%20or%20%22Chan%20Chao%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Chan_Chao||
AAPI-0072|||||Chao, Maia|Maia Chao|||||interdisciplinary artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chao%2C+Maia%22%20or%20%22Maia%20Chao%22&searchscope=1||||||
AAPI-0076|500123007|Q3482619|96588925|no93009886|Cheang, Shu Lea|Shu Lea Cheang|1954||Taiwanese||installation artist;multimedia artist;performance artist;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Cheang%2C+Shu%20Lea%22%20or%20%22Shu%20Lea%20Cheang%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Shu_Lea_Cheang||
AAPI-0876||Q30230341|30346605|n82158225|Chen, Chi-kwan|Chi-kwan Chen|1921|2007|Taiwanese||architect;painter;ink artist/calligrapher|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chen%2C+Chi-kwan%22%20or%20%22Chi-kwan%20Chen%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Chen_Chi-kwan||
AAPI-0078|500016984|Q5764312|95785441||Chen, Hilo|Hilo Chen|1942||Taiwanese||painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chen%2C+Hilo%22%20or%20%22Hilo%20Chen%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Hilo_Chen||
AAPI-1057|||||Chen, Jack|Jack Chen|1908|1995|Chinese||painter;draftsperson|Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Chen, Jack""%20or%20""Jack Chen""&searchscope=1&SORT=A"||||||
AAPI-0079|500123337|Q17514680|3301155708696922580004||Chen, Julie|Julie Chen|1963||||book/paper/zine artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chen%2C+Julie%22%20or%20%22Julie%20Chen%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Julie_Chen_(book_artist)||
AAPI-0080|||||Chen, Susan|Susan Chen|1992||Hongkonger;Chinese;Taiwanese||painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chen%2C+Susan%22%20or%20%22Susan%20Chen%22&searchscope=1||||||
AAPI-0081|||||Chen, Wei-In|Wei-In Chen|1970||Taiwanese|||Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Chen, Wei-In""%20or%20""Wei-In Chen""&searchscope=1&SORT=A"|||||artasiamerica|http://artasiamerica.org/artist/detail/112
AAPI-1065|||||Chen, Weiyun|Weiyun Chen|||Taiwanese||designer;book/paper/zine artist|Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Chen, Weiyun""%20or%20""Weiyun Chen""&searchscope=1&SORT=A"||||||
AAPI-0083|500034307|Q5100988|18824365|n89610756|Cheng, Ching Ho|Ho Cheng Cheng|1946|1989|Chinese||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Ching+Ho+Cheng%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Ching_Ho_Cheng||
AAPI-0082|500034308|Q39060752|294007577|no2012006846|Cheng, Emily|Emily Cheng|1953||Chinese||painter;printmaker|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Cheng%2C+Emily%22%20or%20%22Emily%20Cheng%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Emily_Cheng|artasiamerica|http://artasiamerica.org/artist/detail/113
AAPI-0996||Q28586788|315104226|no2015151898|Cheng, Ian|Ian Cheng|1984||Chinese||time-based media artist|Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Cheng, Ian""%20or%20""Ian Cheng""&searchscope=1&SORT=A"|||Wikipedia|https://en.wikipedia.org/wiki/Ian_Cheng ||
AAPI-0084|||||Cheng, Luke Luokun|Luke Luokun Cheng|1991||Chinese||installation artist;performance artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Cheng%2C+Luke%20Luokun%22%20or%20%22Luke%20Luokun%20Cheng%22&searchscope=1||||||
AAPI-0086|||||Cheng, Yet-por|Yet-por (Bu Dou) Cheng|1907|1991|Chinese;Malaysian||painter;ink artist/calligrapher|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Yet-por+Cheng%22&searchscope=1||||||
AAPI-0742||Q6862672|131144928861654440882||Cheon, Mina|Mina Cheon|1973||Korean||time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Cheon%2C+Mina%22%20or%20%22Mina%20Cheon%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Mina_Cheon||
AAPI-1033|||||Chew, Daniel|Daniel Chew|||||designer;time-based media artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Chew%2C+Daniel%22+or+%22Daniel+Chew%22&searchscope=1||||||
AAPI-0087|500044114|Q5090712|40176785|n50059486|Chi, Chen|Chen Chi|1912|2005|Chinese||illustrator;painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=Chen%2C+Chi%2C+1912-2005&searchscope=1|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Chen+Chi%22|Wikipedia|https://en.wikipedia.org/wiki/Chen_Chi||
AAPI-0089||Q20831549|174184939|n82025725|Chiang, Fay|Fay Chiang|1952|2017|Chinese|||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chiang%2C+Fay%22%20or%20%22Fay%20Chiang%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Fay_Chiang||
AAPI-0090||Q6154218|41121608|n97024940|Chiang, Janice|Janice Chiang|1955||Chinese|||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chiang,%20Janice%22%20or%20%22Janice%20Chiang%22&searchscope=1&SORT=A|||Wikipedia|https://en.wikipedia.org/wiki/Janice_Chiang||
AAPI-0091||Q111602538|||Chiang, Jean|Jean Chiang|||Chinese||installation artist;mixed-media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chiang,%20Jean%22%20or%20%22Jean%20Chiang%22&searchscope=1&SORT=A||||||
AAPI-0093||Q162511|79042558|n81009693|Chin, Frank|Frank Chin|1940||Chinese|||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chin,%20Frank%22%20or%20%22Frank%20Chin%22&searchscope=1&SORT=A|||Wikipedia|https://en.wikipedia.org/wiki/Frank_Chin||
AAPI-0094|500128668|Q6810674|295149066359165600728|no98021077|Chin, Mel|Mel Chin|1951||Chinese||conceptual artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chin%2C+Mel%22%20or%20%22Mel%20Chin%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Mel_Chin|artasiamerica|http://artasiamerica.org/artist/detail/60
AAPI-0096||Q4888147|169147804|no2011037953|Chinn, Benjamen|Benjamen Chinn|1921|2009|Chinese||photographer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chinn%2C+Benjamen%22%20or%20%22Benjamen%20Chinn%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Benjamen_Chinn ||
AAPI-0097|500490530|Q6523090|6406161881881534100009||Chinn, Lenore|Lenore Chinn|1949||Chinese||painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chinn%2C+Lenore%22%20or%20%22Lenore%20Chinn%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Lenore_Chinn ||
AAPI-1025||Q56651533|||Cho, Hyun Sook|Hyun Sook Cho|||Korean||mixed-media artist;painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Cho%2C+Hyun+Sook%22+or+%22Hyun+Sook+Cho%22&searchscope=1||||||
AAPI-1090||Q114164824|||Cho, Namu|Namu Cho|1955||Korean||designer|Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Cho, Namu""%20or%20""Namu Cho""&searchscope=1&SORT=A"||||||
