Match point|ULAN ID|Library of Congress authority ID|Wikidata ID|Name|Birth date|Death date|Heritage/Ancestry|Watson Indexes|Description|Watsonline|Watsonline URL|Watsonline original|Wikipedia|Wikipedia URL|Met Collection|Met Collection URL|Notes
LA-0292|500371739|n81046450|Q77324977|Alicea, José R.|1928||Puerto Rican||graphic artist;painter;printmaker|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alicea%2C+José+R.%22%20or%20%22José+R.+Alicea%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Alicea, José R.""%20or%20""José R. Alicea""&searchscope=1&SORT=A"|||Met Collection|https://www.metmuseum.org/art/collection/search?q=Alicea,%20José%20R.&searchField=ArtistCulture|born in Ponce, Puerto Rico
LA-0029|500523341|n94040938|Q16185407|Alicia, Juana|1953||Chicano/a/x||muralist;painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alicia%2C+Juana%22%20or%20%22Juana+Alicia%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Alicia, Juana""%20or%20""Juana Alicia""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Juana_Alicia|||born in Newark
LA-0782|500355846|no2021025310|Q4062669|Allora & Calzadilla|1995||Cuban||installation artist|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Allora%20and%20Calzadilla%22)&searchscope=1&SORT=R|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Allora%20and%20Calzadilla%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Allora_%26_Calzadilla|||Allora (born 1974 in PA), Calzadilla (born 1971 in Cuba); active in Puerto Rico
LA-0003|500015785|n79071847|Q5041737|Almaraz, Carlos|1941|1989|Chicano/a/x;Mexican||muralist;painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Almaraz%2C+Carlos%22%20or%20%22Carlos+Almaraz%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Almaraz, Carlos""%20or%20""Carlos Almaraz""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Carlos_Almaraz|||born in Mexico City, raised in Los Angeles
LA-0293||no2022110444||Almendárez, Francis|1987||||photographer;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Almendárez%2C+Francis%22%20or%20%22Francis+Almendárez%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Almendárez, Francis""%20or%20""Francis Almendárez""&searchscope=1&SORT=A"|||||born and raised in Los Angeles, CA and is currently based in Houston, Texas
LA-0163|500371740 |nr99029183||Alonso, Luís|1951||Puerto Rican||designer;painter;printmaker|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alonso%2C+Luís%22%20or%20%22Luís+Alonso%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Alonso, Luís""%20or%20""Luís Alonso""&searchscope=1&SORT=A"|||||
LA-0186|500116692|no99041099|Q5955836|Alpuy, Julio|1919|2009|Uruguayan||muralist;painter;sculptor|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alpuy%2C+Julio%22+or+%22Julio+Alpuy%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Alpuy%2C+Julio%22+or+%22Julio+Uruguay+Alpuy%22%26SORT%3DA|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alpuy%2C+Julio%22+or+%22Julio+Alpuy%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Alpuy%2C+Julio%22+or+%22Julio+Uruguay+Alpuy%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/Julio_Alpuy|||lived and worked in NY
LA-0009||n88108924|Q16735391|Alvarado-Juárez, Francisco|1950||Honduran||installation artist;mixed-media artist;painter;photographer;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alvarado-Juárez%2C+Francisco%22%20or%20%22Francisco+Alvarado-Juárez%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Alvarado-Juárez, Francisco""%20or%20""Francisco Alvarado-Juárez""&searchscope=1&SORT=A"|||||New York based, Born in Honduras, Alvarado-Juarez moved to New York City in his teens
LA-0294|500775435|n91085308|Q23074144|Álvarez Muñoz, Celia|1937||Chicano/a/x||conceptual artist;mixed-media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Álvarez+Muñoz%2C+Celia%22%20or%20%22Celia+Álvarez+Muñoz%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Álvarez Muñoz, Celia""%20or%20""Celia Álvarez Muñoz""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Celia_%C3%81lvarez_Mu%C3%B1oz|||born in El Paso, active in Arlington TX
LA-0004||no2001044416|Q19609556|Alvarez, Candida|1955||Puerto Rican;Afro-Latino/a/x|Index of African American Artists|painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alvarez%2C+Candida%22%20or%20%22Candida+Alvarez%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Alvarez, Candida""%20or%20""Candida Alvarez""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Candida_Alvarez|||born in Brooklyn, tenured professor of Painting and Drawing at the School of the Art Institute of Chicago where she has taught since 1998, no record of identifying as Nuyorican
LA-0044||n2004039580|Q5056408|Alvarez, Cecilia|1950||Chicano/a/x;Cuban;Mexican||muralist;painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alvarez%2C+Cecilia%22%20or%20%22Cecilia+Concepcion+Alvarez%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Alvarez, Cecilia""%20or%20""Cecilia Concepcion Alvarez""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Cecilia_Alvarez|||born in CA, raised by both of her parents in San Diego, California and Tijuana, Mexico, active in WA
LA-0784||n2017040445;no2002014183|Q5241510|Álvarez, David|1972||Puerto Rican||illustrator/cartoonist/comic book artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Álvarez%2C+David%22%20or%20%22David+Alvarez%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Álvarez, David""%20or%20""David Alvarez""&searchscope=1&SORT=A"|||||worked on Yenny comic strip and storyboard artist for DC Comics, Looney Tunes, Disney and others
LA-0755||||Alvarez, Javier|||Chilean||photographer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alvarez%2C+Javier%22%20or%20%22Javier+Alvarez%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Alvarez, Javier""%20or%20""Javier Alvarez""&searchscope=1&SORT=A"|||||born Santiago de Chile, based in Brooklyn, has worked between Brazil, Chile and US. En Foco fellowship winner
LA-0786||n2003028015|Q105839980|Alvarez, Laura E.|1969||Mexican||painter;printmaker;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Alvarez%2C%20Laura%22%20or%20%22Laura%20E.%20Alvarez%22)%20or%20(%22Laura%20Alvarez%22%20and%20not%20%22Laura%20Alvarez%20Acosta%22)&searchscope=1&SORT=R|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Alvarez%2C%20Laura%22%20or%20%22Laura%20E.%20Alvarez%22)%20or%20(%22Laura%20Alvarez%22%20and%20not%20%22Laura%20Alvarez%20Acosta%22)&searchscope=1&SORT=R|||||born in Huntington Beach CA
LA-0210||n2021028097||Álvarez-Piñeiro, Emma|1935||Argentinian||assemblage artist;graphic artist;painter;sculptor|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Álvarez-Piñeiro%2C+Emma%22%20or%20%22Emma+Álvarez-Piñeiro%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Álvarez-Piñeiro, Emma""%20or%20""Emma Álvarez-Piñeiro""&searchscope=1&SORT=A"|||||active in New York from the late 1960s to the mid 1990
LA-0164|500523343|nr00037968|Q107253788|Amado, Jesse|1951||Mexican||installation artist;multimedia artist;painter;performance artist;sculptor;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Amado%2C+Jesse%22%20or%20%22Jesse+Amado%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Amado, Jesse""%20or%20""Jesse Amado""&searchscope=1&SORT=A"|||||from and active in South Texas
