Column1|Name|Birth Date|Death Date|Description|Indexes|Watsonline|Watsonline search|Wikipedia|Wikipedia search|AAVAD|AAVAD Search|Met Collection|Met Collection search|Wikidata ID|Library of Congress authority ID|VIAF ID|Union List of Artist Names ID
143|"Maynard, Felicita ""Felli"""|1990||book/zine artist; interdisciplinary artist; photographer||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=felli+felicita+maynard&searchscope=1|||||||Q117860171|no2021014916||
144|Fordjour, Derek|1974||installation artist; painter; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Fordjour%2C+Derek%22%20or%20%22Derek+Fordjour%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Derek_Fordjour|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=18867|||Q5261964|no2018106667|400153363075937000000|
145|Frances, Frank|1983||photographer||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Frances%2C+Frank%22%20or%20%22Frank+Frances%22&searchscope=1|||||||Q104472973|||
146|Franklin, Krista|1970||||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Franklin%2C+Krista%22%20or%20%22Krista+Franklin%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Krista_Franklin|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=17794|||Q24053411|||
147|Frazier, LaToya Ruby|1982||photographer; time-based media artist||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=LaToya+Ruby+Frazier&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/LaToya_Ruby_Frazier|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=10633|||Q19667999|no2015019120|254007592|500371741
148|Freelon, Allan R.|1895|1960|painter; printmaker||Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(allan%20freelon)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Allan_Randall_Freelon|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=97|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Freelon,%20Allan%20R.&searchField=ArtistCulture|Q19865988||2134158070776100000000|500490395
149|Freelon, Maya|1982||sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Freelon%2C+Maya%22%20or%20%22Maya+Freelon%22&searchscope=1|||||||Q117861098|||
150|Fuller, Meta Vaux Warrick|1877|1968|sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Fuller%2C+Meta+Vaux+Warrick&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Meta_Vaux_Warrick_Fuller|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=99|||Q6822308|nr97005964|42908769|500122067
151|Futura [Futura 2000; Leonard Hilton McGurr]|1955||graffiti/street artist; painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22futura+2000%22+or+%28%22leonard%22+AND+%22mcgurr%22%29+&searchscope=1&sortdropdown=-&SORT=D&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22futura%22+and+%22graffiti%22+%26SORT%3DD|Wikipedia|https://en.wikipedia.org/wiki/Futura_(graffiti_artist)#:~:text=Leonard%20Hilton%20McGurr%20(born%2017,is%20an%20American%20graffiti%20artist.|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1836|||Q14467027|n95087034|96155545|500068395
152|Gaignard, Genevieve|1981||installation artist; photographer; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Gaignard%2C+Genevieve%22%20or%20%22Genevieve+Gaignard%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Genevieve_Gaignard|||||Q28966710||4411153289888330000000|
153|Gaines, Charles|1944||conceptual artist; installation artist||Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=d:(%22Gaines%2C%20Charles%22)%20or%20(%22charles%20gaines%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Charles_Gaines_(artist)|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=4821|||Q18098196|nr2003024442|39321071|500062753
154|Gale, Nikita|1983||||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Gale%2C+Nikita%22%20or%20%22Nikita+Gale%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Nikita_Gale|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=14245|||Q23008015||295146998444018000000|
155|Gallagher, Ellen|1965||book/zine artist; collagist; painter; printmaker||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Gallagher%2C+Ellen+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Ellen_Gallagher|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=100|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Gallagher,%20Ellen&searchField=ArtistCulture|Q4132681|nr97000185|96611401|500126100
156|Gant, Jerry|1961|2018|assemblage artist; graffiti/street artist; painter; performance artist; sculptor; textile/fiber artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Gant%2C+Jerry%22%20or%20%22Jerry+Gant%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Jerry_Gant|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=8351|||Q28967676|no2014020326|307461436|
157|Gates, Theaster|1973||ceramicist / potter; conceptual artist; performance artist; sculptor; social practice artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Gates%2C+Theaster+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Theaster_Gates|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=13050|||Q7777257|no2012153654|138291659|500294129
158|Gatson, Rico|1966||collagist; mixed-media artist; painter; sculptor; time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Gatson%2C+Rico%22%20or%20%22Rico+Gatson%22&searchscope=1|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1588|||Q28869828|no2013103916|283136222|500374791
159|Gavin, Cy|1985||mixed-media artist; painter||Watsonline|https://library.metmuseum.org/search~S1?/X%22Gavin,+Cy%22+or+%22Cy+Gavin%22&searchscope=1&SORT=DX/X%22Gavin,+Cy%22+or+%22Cy+Gavin%22&searchscope=1&SORT=DX&SUBKEY=%22Gavin%2C+Cy%22+or+%22Cy+Gavin%22/1%2C2%2C2%2CB/frameset&FF=X%22Gavin%2C+Cy%22+or+%22Cy+Gavin%22&searchscope=1&SORT=DX&2%2C2%2C|Wikipedia|https://en.wikipedia.org/wiki/Cy_Gavin|||||Q43177852|||
160|Gentry, Herbert|1919|2003|painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Gentry%2C+Herbert%22%20or%20%22Herbert+Gentry%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Herbert_Gentry|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=647|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Gentry,%20Herbert&searchField=ArtistCulture|Q5864249|no2004029847|39083124|500106015
161|German, Vanessa|1976||assemblage artist; conceptual artist; installation artist; social practice artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22German%2C+Vanessa%22%20or%20%22Vanessa+German%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Vanessa_German|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=10681|||Q29006330||49146998543918900000|
162|Gibson, Mark Thomas|1980||book/zine artist; illustrator; painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Gibson%2C+Mark+Thomas%22%20or%20%22Mark+Thomas++Gibson%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Mark_Thomas_Gibson|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=13340|||Q50874910|||
163|Gilliam, Leah|1967||time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Gilliam%2C+Leah+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Leah_Gilliam|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=8584|||Q6509190||96534998|500114713
164|Gilliam, Sam|1933||multimedia artist; painter; printmaker||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Gilliam%2C+Sam+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Sam_Gilliam|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=105|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Gilliam,%20Sam&searchField=ArtistCulture|Q2216478|n50030145|95763938|500013570
165|Gordon, Russell T.|1936|2013|printmaker||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Gordon%2C+Russell+T.+%22%20or%20%22Russell+T.+Gordon%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Russell_T._Gordon|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=109|||Q28542120|n86815287|65502196|500122227
166|Graham, Lonnie|1954||photographer||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Graham%2C+Lonnie+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Lonnie_Graham|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=608|||Q6674714||63154590078143000000|500331376
167|Grant, Deborah|1968||collagist; painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Grant%2C+Deborah%22%20or%20%22Deborah+Grant%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Deborah_Grant_(artist)|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1589|||Q23418768|no2013103919|307443964|500490633
168|Graves, Kris|1982||photographer||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22graves%2C+kris%22+or+%22kris+graves%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Kris_Graves|||Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Graves,%20Kris&searchField=ArtistCulture|Q85104376||1772153472511440000000|
169|Gray, Todd|1954||assemblage artist; performance artist; photographer||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Gray%2C+Todd%22%20or%20%22Todd+Gray%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Todd_Gray_(artist)|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=553|||Q19666538|no2006101610|76078124|500330467
170|Green, Renee|1959||book/zine artist; installation artist; photographer; time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Green%2C+Renee%22%20or%20%22Renee+Green%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Renee_Green|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=929|||Q7313843|n93106475|10658450|500116138
171|Gumby, Alteronce|1985||ceramicist / potter; installation artist; painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Gumby%2C+Alteronce+%22%20or%20%22Alteronce+Gumby%22&searchscope=1|||||||Q104237004|||
172|Guyton, Tyree|1955||installation artist; painter; social practice artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Guyton%2C+Tyree+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Tyree_Guyton|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1838|||Q7861470|nr97021481|47957394|500273534
173|Hair, Alfred|1941|1970|painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Hair%2C+Alfred%2C+1941-1970%22%20or%20%22Alfred+Hair%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Alfred_Hair|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=4401|||Q61380275|no2006041505|43049408|
174|Halsey, Lauren |1987||installation artist; social practice artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Halsey%2C+Lauren+%22%20or%20%22Lauren++Halsey%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Lauren_Halsey|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=19071|||Q56199156|no2023051245|8664157884841160000000|
175|Hamilton, Allison Janae|1984||installation artist; photographer; sculptor; time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Hamilton%2C+Allison+Janae%22%20or%20%22Allison+Janae+Hamilton%22&searchscope=1|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=15857|||Q104237000|no2021127113|28162178735007800000|
176|Hamilton, Ed|1947||sculptor||Watsonline|https://library.metmuseum.org/search/?searchtype=d&SORT=D&searcharg=hamilton%2C+ed%2C+1947&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Ed_Hamilton|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1311|||Q5334905|||
177|Hammons, David|1943||assemblage artist; conceptual artist; printmaker||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Hammons%2C+David+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/David_Hammons|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=115|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Hammons,%20David&searchField=ArtistCulture|Q320846|n91112683|96535028|500114717
178|Hancock, Trenton Doyle|1974||assemblage artist; collagist; painter; performance artist; printmaker; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Hancock%2C+Trenton+Doyle&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Trenton_Doyle_Hancock|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1592|Met Collection|https://www.metmuseum.org/art/collection/search?q=Hancock%2C+Trenton+Doyle&searchField=ArtistCulture|Q7838564|no2006036069|96534470|500114639
179|Hanif, Akintola|1972||photographer||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Hanif%2C+Akintola%22%20or%20%22Akintola+Hanif%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Akintola_Hanif|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=9644|||Q28871516|||
180|Hardrick, John Wesley|1891|1968|painter||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Hardrick%2C+John+Wesley%22+or+%22John+Wesley+Hardrick%22+or+%22John+Hardrick%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/John_Wesley_Hardrick|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=932|||Q6263563|nr96037311|32853636|500330162
181|Harleston, Edwin|1882|1931|painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Harleston%2C+Edwin+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Edwin_Harleston|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=118|||Q22330586|n91112200|58264150|500070498
182|Harleston, Elise Forrest|1891|1970|photographer||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Harleston%2C+Elise+Forrest&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Elise_Forrest_Harleston|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=628|||Q19664050|||500450196
183|Harper, William A.|1873|1910|painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Harper%2C+William+A.%22%20or%20%22William+A.+Harper%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/William_A._Harper|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=423|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Harper%2C+William+A.%22&searchField=ArtistCulture|Q29961432|nr94015834|73735777|
184|Harris, Jerry|1945|2016|sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Harris%2C+Jerry%22%20or%20%22Jerry+Harris%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Jerry_Harris|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=2385|||Q6183698|||
185|Harris, Kira Lynn|1963||installation artist; mixed-media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Harris%2C+Kira+Lynn&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Kira_Lynn_Harris|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1594|||Q21592107|no2010078142|121221317|500355631
186|Harris, Lyle Ashton|1965||installation artist; painter; performance artist; photographer; time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Harris%2C+Lyle+Ashton%22%20or%20%22Lyle+Ashton+Harris%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Lyle_Ashton_Harris|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=554|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Harris,%20Lyle%20Ashton&searchField=ArtistCulture|Q3841000|no95027556|68513801|500329853
187|Harris-Babou, Ilana|1991||installation artist; sculptor; time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Harris-Babou%2C+Ilana+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Ilana_Harris-Babou|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=18258|||Q28871528|||
188|Harvey, Bessie|1929|1994|assemblage artist; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Harvey%2C+Bessie%22%20or%20%22Bessie+Harvey%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Bessie_Harvey|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=867|||Q4896474|n97050249|42902543|500125775
189|Hassinger, Maren|1947||installation artist; performance artist; sculptor; time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Hassinger%2C+Maren+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Maren_Hassinger|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=352|||Q16115301|n91120979|53336542|500056036
190|Hayden, Palmer|1893|1973|painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Hayden%2C+Palmer+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Palmer_Hayden|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=424|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Hayden,%20Palmer&searchField=ArtistCulture|Q3361615|no98072191|69794287|500030694
191|Hendricks, Barkley|1945|2017|painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Hendricks%2C+Barkley+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Barkley_Hendricks|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=122|||Q4861080|n85006336|1428589|500333292
192|Herriman, George|1880|1944|cartoonist / comic book artist; illustrator||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Herriman%2C+George+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/George_Herriman|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=124|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Herriman,%20George&searchField=ArtistCulture|Q453440|n50036897|95793851|500018380
193|Herring, James V.|1887|1969|painter||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22herring%2C+james+vernon%22+or+%22james+v.+herring%22+or+%22james+vernon+herring%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/James_V._Herring|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=455|||Q6144559||3220153596633450000000|
194|Hewitt, Leslie|1977||installation artist||Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Hewitt%2C%20Leslie%22%20or%20%22Leslie%20Hewitt%22%20not%20%22pearl%20hewitt%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Leslie_Hewitt|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=8088|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Hewitt,%20Leslie&searchField=ArtistCulture|Q6530882|n2006082976|11740949|500129200
195|Hicks, Kyra|1965||textile/fiber artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Hicks%2C+Kyra%22%20or%20%22Kyra+Hicks%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Kyra_E._Hicks|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=9944|||Q16196061|n2002153635|4300738|
196|Hill-Montgomery, Candace|1945||mixed-media artist; painter; photographer; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Hill-Montgomery%2C+Candace%22%20or%20%22Candace+Hill-Montgomery%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Candace_Hill-Montgomery|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=677|||Q28871563|nr2007002451|96229443|
197|Hinkle, Kenyatta A C|1987||interdisciplinary artist; performance artist||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=kenyatta+hinkle&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Kenyatta_A.C._Hinkle|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=15054|||Q19560981||300214623|
198|Holley, Lonnie|1950||assemblage artist; painter; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Holley%2C+Lonnie%22%20or%20%22Lonnie+Holley%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Lonnie_Holley|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=304|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Holley,%20Lonnie&searchField=ArtistCulture|Q6674720|no2005033578|96609167|500125776
199|Hollingsworth, Alvin|1928|2000|cartoonist / comic book artist; illustrator; painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Hollingsworth%2C+Alvin+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Alvin_Hollingsworth|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=433|||Q4738121|n85006381|55567378|500490674
200|Holton, Curlee Raven|1951||painter; printmaker||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Holton%2C+Curlee+Raven%22%20or%20%22Curlee+Raven+Holton%22&searchscope=1|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=4848|||Q91226218|no2002079777|75989357|500491404
201|Honey Pot Performance|2000||performance artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Honey+Pot+Performance+%22%20or%20%22+Honey+Pot+Performance%22&searchscope=1|||||||Q64348993|no2018004617|18151654701108200000|
202|Hudson, Bryce|1979||painter; photographer; printmaker||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Hudson%2C+Bryce+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Bryce_Hudson|||||Q4980693|n2009050828|96734656|
203|Hudson, Julien|1811|1844|painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Hudson%2C+Julien%22%20or%20%22Julien+Hudson%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Julien_Hudson|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=416|||Q6308734|n2010034819|121894750|500000426
204|Huffman, David|1963||painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Huffman%2C+David%22%20or%20%22David+Huffman%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/David_Huffman_(artist)|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1595|||Q23016980|no2013103934|307443976|500334843
205|Hunt, Richard|1935||sculptor|Index of Indigenous and Native American Artists|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Hunt%2C+Richard%22+or+%22Richard+Hunt%22+not+%22Richard+Morris%22&searchscope=1&sortdropdown=-&SORT=DY&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Hunt%2C+Richard%22+or+%22Richard+Hunt%22%26SORT%3DDX|Wikipedia|https://en.wikipedia.org/wiki/Richard_Hunt_(sculptor)|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=135|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Hunt,%20Richard&searchField=ArtistCulture|Q7326615|n91051257|92763638|500124131
206|Hunter, Clementine|1886|1988|painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Hunter%2C+Clementine+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Clementine_Hunter|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=377|||Q2978902|n88016218|96519292|500111625
207|Huxtable, Juliana|1987||mixed-media artist; multimedia artist; performance artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Huxtable%2C+Juliana%22%20or%20%22Juliana+Huxtable%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Juliana_Huxtable|||||Q19880824|no2018145597|2563149619444800000000|
208|Isaiah, Texas|1986||photographer||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Isaiah%2C+Texas%22%20or%20%22Texas+Isaiah%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Texas_Isaiah|||||Q98966311|||
