Column1|Name|Birth Date|Death Date|Description|Indexes|Watsonline|Watsonline search|Wikipedia|Wikipedia search|AAVAD|AAVAD Search|Met Collection|Met Collection search|Wikidata ID|Library of Congress authority ID|VIAF ID|Union List of Artist Names ID
512|Jackson, May Howard|1877|1931|sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Jackson,%20May%20Howard%22%20or%20%22May%20Howard%20Jackson%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/May_Howard_Jackson|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=645|||Q18716208|nr94026405|78661736|500034471
513|Jefferson, Everardo|||architect||Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Jefferson%2C+Everardo""+or+""Everardo+Jefferson""&searchscope=1"|Wikipedia|https://en.wikipedia.org/wiki/Caples_Jefferson_Architects|||||Q118141610|||
514|Joans, Ted|1928|2003|painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Joans,%20Ted%22%20or%20%22Ted%20Joans%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Ted_Joans|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=2098|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Joans,%20Ted&searchField=ArtistCulture|Q719766|n50038333|76335838|
515|Johnson, Walis|||interdisciplinary artist; time-based media artist||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Johnson%2C+Walis%22+or+%22Walis+Johnson%22&searchscope=1|||||||Q118141611|||
516|Jones, Ben|1941||installation artist; painter; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Jones,%20Ben%22%20or%20%22Ben%20Jones%22&searchscope=1|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=439|||Q28858711|no2003091533|9540275|
517|Keene, Paul F., Jr.|1920|2009|painter; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22paul+keene%22+or+%22paul+f.+keene%22+or+%22keene%2C+paul%22&searchscope=1&sortdropdown=-&SORT=R&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22paul+keene%22+or+%22paul+f.+keene%22%26SORT%3DR|Wikipedia|https://en.wikipedia.org/wiki/Paul_F._Keene_Jr.|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=943|||Q16975309|no2006038345|55013161|500069336
518|Key, Vivian Schuyler|1905|1990|illustrator; painter; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Key%2C+Vivian%22+or+%22Vivian+Key%22+or+%22Vivian+Schuyler+Key%22&searchscope=1&sortdropdown=-&SORT=DY&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Key%2C+Vivian%22+or+%22Vivian+Key%22%26SORT%3DDX|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1781|||Q115628940|||
519|Kosrof, Wosene Worke|1950||painter; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Kosrof,%20Wosene%20Worke%22%20or%20%22Wosene%20Worke%20Kosrof%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Wosene_Worke_Kosrof|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=2271|||Q4020998||96563464|500119232
520|Kure, Marcia|1970||collagist; painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Kure,%20Marcia%22%20or%20%22Marcia%20Kure%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Marcia_Kure|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=2192|||Q6757118|no98108510|5759469|500356084
522|Lindsey, Richard|1904|1970|painter; printmaker||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Lindsey,%20Richard%22%20or%20%22Richard%20William%20Lindsey%22&searchscope=1&SORT=A|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1784|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Lindsey,%20Richard&searchField=ArtistCulture|Q100253500|||500524397
