Wikidata ID|Display Name|Birth|Death|Indexes|Description|Watsonline|Watsonline URL|Wikipedia|Wikipedia URL|Met Collection|Met Collection URL|ULAN ID|VIAF ID|LC ID|Reference for inclusion as LGBTQIA+ artist|Reference for inclusion URL
Q5441738|Centurión, Feliciano |1962|1996||painter;textile/fiber artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Feliciano Centurión%22+or+%22Centurión, Feliciano %22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Feliciano_Centuri%C3%B3n||||https://viaf.org/viaf/1121154741631053110000|no2021075996|The Queer Encyclopedia of the Visual Arts|https://library.metmuseum.org:443/record=b1466091~S1
Q129022501|Cepeda, Uzumaki||||installation artist;painter;photographer;sculptor|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Uzumaki Cepeda%22+or+%22Cepeda, Uzumaki%22&searchscope=1||||||||We Are Here: Visionaries of Color Transforming the Art World|https://library.metmuseum.org:443/record=b2018705~S1
Q94412539|Chan, Gaye|1962||Index of Asian American and Pacific Islander Artists|conceptual artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Chan%2C+Gaye%22+or+%22Gaye+Chan%22&searchscope=1||||||https://viaf.org/viaf/19990391|n2005092852|Lesbian Art in America: A Contemporary History|https://library.metmuseum.org:443/record=b1290072~S1
Q58836589|Chase, Jonathan Lyndon|1989||Index of Black Artists of North America|book/zine artist; painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Chase%2C+Jonathan+Lyndon+%22%20or%20%22Jonathan+Lyndon+Chase%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Jonathan_Lyndon_Chase|Met Collection|https://www.metmuseum.org/art/collection/search?q=Chase,%20Jonathan%20Lyndon&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500490413|https://viaf.org/viaf/6463155226721084490001|no2020110166|Artist's wikipedia entry|https://en.wikipedia.org/wiki/Jonathan_Lyndon_Chase
Q129022504|Chester, Mark I.||||photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Mark+I.+Chester%22+or+%22Chester%2C+Mark%22+or+%22Mark+Chester%22&searchscope=1||||||||Visual Aids|https://visualaids.org/blog/each-portrait-was-also-a-defiant-battle-cry-against-the-encroaching-darknes
Q6523090|Chinn, Lenore |1949||Index of Asian American and Pacific Islander Artists|painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chinn%2C+Lenore%22%20or%20%22Lenore%20Chinn%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Lenore_Chinn |||http://vocab.getty.edu/page/ulan/500490530|https://viaf.org/viaf/6406161881881534100009||Lesbian Art in America: A Contemporary History|https://library.metmuseum.org:443/record=b1290072~S1
Q129022506|Chock, Jeffrey|1943|||photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Jeffrey Chock%22+or+%22Chock, Jeffrey%22&searchscope=1||||||||Erotic islands : art and activism in the queer Caribbean|https://library.metmuseum.org:443/record=b1972131~S1
Q83158|Cocteau, Jean|1889|1963||designer;filmmaker;painter;photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Jean Cocteau%22+or+%22Cocteau, Jean%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Jean_Cocteau|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Cocteau, Jean%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500003025|https://viaf.org/viaf/12306661|n79007043|Wikidata|https://www.wikidata.org/wiki/Q83158
Q118274114|Collier, Golden|||Index of Black Artists of North America|book/zine artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22collier%2C+golden%22+or+%22golden+collier%22&searchscope=1||||||||Asian Arts Initiative|https://asianartsinitiative.org/archive/artists/golden-collier
Q4228019|Collins, Jess|1923|2004||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Jess+Collins%22+or+%22Collins%2C+Jess%22+or+%22Jess%2C+1923-2004%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Jess_Collins|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Collins, Jess%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500030886|https://viaf.org/viaf/91873916|n50026847|Artist's wikipedia entry|https://en.wikipedia.org/wiki/Jess_Collins
Q60330702|Collins, Liz|1968|||draftsperson;fashion/clothing designer;textile/fiber artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Liz Collins%22+or+%22Collins, Liz%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Liz_Collins||||https://viaf.org/viaf/7994162985517186300009||"Hyperallergic artist interview ""queer artists in their own words"" series"|https://hyperallergic.com/506632/queer-artists-in-their-own-words-liz-collins/
Q108897523|Cooling, Janet|1951|2022||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Janet Cooling%22+or+%22Cooling, Janet%22&searchscope=1|||||http://vocab.getty.edu/page/ulan/500111616|https://viaf.org/viaf/192563015||Lesbian art in America : a contemporary history / Harmony Hammond|https://library.metmuseum.org:443/record=b1290072~S1
Q2399974|Corinne, Tee A.|1943|2006||photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Tee+A.+Corinne%22+or+%22Corinne%2C+Tee%22+or+%22Tee+Corinne%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Tee_Corinne|||http://vocab.getty.edu/page/ulan/500488622|https://viaf.org/viaf/95149196534174792134|n87876359|Lesbian art in America : a contemporary history / Harmony Hammond|https://library.metmuseum.org:443/record=b1290072~S1
Q129022508|Crichton, E.G.|||||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22E.G. Crichton%22+or+%22Crichton, E.G.%22&searchscope=1||||||||Lesbian art in America : a contemporary history / Harmony Hammond|https://library.metmuseum.org:443/record=b1290072~S1
Q7145535|Cronin, Patricia|1963|||painter;photographer;sculptor|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Patricia Cronin%22+or+%22Cronin, Patricia%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Patricia_Cronin||||https://viaf.org/viaf/2179730|no2004060177|Lesbian art in America : a contemporary history / Harmony Hammond|https://library.metmuseum.org:443/record=b1290072~S1
Q24248231|Cruz, David Antonio|1974||Index of Latine and Hispanic American Artists|multidisciplinary artist;painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Cruz%2C+David+Antonio%22%20or%20%22David+Antonio+Cruz%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/David_Antonio_Cruz||||||We Are Here: Visionaries of Color Transforming the Art World|https://library.metmuseum.org:443/record=b2018705~S1
Q109406855|Cubacub, Sky|1991|1991||book/zine artist;fashion/clothing designer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Sky Cubacub%22+or+%22Cubacub, Sky%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Sky_Cubacub||||||Artist's website|https://rebirthgarments.com/about
